Capacity data calculated from MERRA-2
""
BEGIN_DATA
year,month,day,hour,s_cfs
2016,1,1,1,0.0
2016,1,1,2,0.0
2016,1,1,3,0.0
2016,1,1,4,0.0
2016,1,1,5,0.0
2016,1,1,6,0.0
2016,1,1,7,0.0
2016,1,1,8,0.0
2016,1,1,9,0.0
2016,1,1,10,0.0
2016,1,1,11,0.0
2016,1,1,12,0.0
2016,1,1,13,0.028409165019852863
2016,1,1,14,0.22188830271164478
2016,1,1,15,0.36644933978270394
2016,1,1,16,0.3820644133112594
2016,1,1,17,0.3618672556365152
2016,1,1,18,0.368011495555052
2016,1,1,19,0.31954809279873025
2016,1,1,20,0.30697147951989084
2016,1,1,21,0.01590161885412537
2016,1,1,22,4.126752153721683e-06
2016,1,1,23,0.0
2016,1,1,24,0.0
2016,1,2,1,0.0
2016,1,2,2,0.0
2016,1,2,3,0.0
2016,1,2,4,0.0
2016,1,2,5,0.0
2016,1,2,6,0.0
2016,1,2,7,0.0
2016,1,2,8,0.0
2016,1,2,9,0.0
2016,1,2,10,0.0
2016,1,2,11,0.0
2016,1,2,12,0.0
2016,1,2,13,0.04602318441175879
2016,1,2,14,0.2919600737236567
2016,1,2,15,0.4051626522654752
2016,1,2,16,0.39896415596383533
2016,1,2,17,0.413422486149983
2016,1,2,18,0.4802166545570132
2016,1,2,19,0.5859949778150914
2016,1,2,20,0.4373230726749682
2016,1,2,21,0.01761081452802237
2016,1,2,22,0.000113842369994882
2016,1,2,23,0.0
2016,1,2,24,0.0
2016,1,3,1,0.0
2016,1,3,2,0.0
2016,1,3,3,0.0
2016,1,3,4,0.0
2016,1,3,5,0.0
2016,1,3,6,0.0
2016,1,3,7,0.0
2016,1,3,8,0.0
2016,1,3,9,0.0
2016,1,3,10,0.0
2016,1,3,11,0.0
2016,1,3,12,0.0
2016,1,3,13,0.028252388717808358
2016,1,3,14,0.21610057259299648
2016,1,3,15,0.3336078787040046
2016,1,3,16,0.36137385357253776
2016,1,3,17,0.38513562866400264
2016,1,3,18,0.4690713667852586
2016,1,3,19,0.48386795845634906
