Capacity data calculated from MERRA-2
""
BEGIN_DATA
year,month,day,hour,w_cfs
2016,1,1,1,0.20259805435746855
2016,1,1,2,0.23701664826248997
2016,1,1,3,0.24559939654274116
2016,1,1,4,0.2392179630307265
2016,1,1,5,0.21344020619118986
2016,1,1,6,0.20236112487620336
2016,1,1,7,0.20311655684813684
2016,1,1,8,0.2108571405264224
2016,1,1,9,0.21429975142988247
2016,1,1,10,0.21298533356217283
2016,1,1,11,0.20369176076442416
2016,1,1,12,0.19735272475292098
2016,1,1,13,0.2053700203410948
2016,1,1,14,0.2030996860016601
2016,1,1,15,0.20399002632567553
2016,1,1,16,0.22259377278142511
2016,1,1,17,0.2063397948022455
2016,1,1,18,0.21475608473445842
2016,1,1,19,0.19570566691309757
2016,1,1,20,0.1629742629886812
2016,1,1,21,0.16236526758020692
2016,1,1,22,0.16510177917892113
2016,1,1,23,0.18360690697035853
2016,1,1,24,0.2108170268519036
2016,1,2,1,0.24357564242614327
2016,1,2,2,0.25664390247320623
2016,1,2,3,0.2602203832367835
2016,1,2,4,0.2666266854094108
2016,1,2,5,0.2781808490790904
2016,1,2,6,0.29819661640647255
2016,1,2,7,0.30818755362374844
2016,1,2,8,0.31645339552460966
2016,1,2,9,0.3175741915770283
2016,1,2,10,0.32904568172968
2016,1,2,11,0.3311711524750181
2016,1,2,12,0.3312494092357366
2016,1,2,13,0.3401200595638481
2016,1,2,14,0.32318945775188135
2016,1,2,15,0.36322768067641914
2016,1,2,16,0.3996996369707729
2016,1,2,17,0.4388884494439233
2016,1,2,18,0.4093949327209521
2016,1,2,19,0.37479148585203004
2016,1,2,20,0.35411980932890874
2016,1,2,21,0.3208690059270424
2016,1,2,22,0.2714622031883074
2016,1,2,23,0.2936804585051155
2016,1,2,24,0.3164501718266285
2016,1,3,1,0.30532001783629564
2016,1,3,2,0.2780934602402185
2016,1,3,3,0.24537861737523028
2016,1,3,4,0.2240441891538783
2016,1,3,5,0.20082910476896068
2016,1,3,6,0.18085213002923073
2016,1,3,7,0.1770603687248985
2016,1,3,8,0.17331933783003478
2016,1,3,9,0.1692345257942534
2016,1,3,10,0.14400853912409622
2016,1,3,11,0.14278168900069274
2016,1,3,12,0.1449060667780453
